node_name,container_id,name_pid,pid,ppid,cmd
nitro5,e0730628a8f84f602a1ea39897e83428c19ece1fe86c50f882a35475a0eec00f,calico-kube-controllers,837572,837516,/usr/bin/kube-controllers
nitro5,3d74245cd59390d6570aba86edb65a1aff3f9057569e5b04fd6b8aa8a5ec8663,calico-node,836653,835617,/usr/local/bin/runsvdir -P /etc/service/enabled
nitro5,3d74245cd59390d6570aba86edb65a1aff3f9057569e5b04fd6b8aa8a5ec8663,calico-node,836755,836653,runsv cni
nitro5,3d74245cd59390d6570aba86edb65a1aff3f9057569e5b04fd6b8aa8a5ec8663,calico-node,836756,836653,runsv confd
nitro5,3d74245cd59390d6570aba86edb65a1aff3f9057569e5b04fd6b8aa8a5ec8663,calico-node,836757,836653,runsv bird6
nitro5,3d74245cd59390d6570aba86edb65a1aff3f9057569e5b04fd6b8aa8a5ec8663,calico-node,836758,836653,runsv felix
nitro5,3d74245cd59390d6570aba86edb65a1aff3f9057569e5b04fd6b8aa8a5ec8663,calico-node,836759,836653,runsv monitor-addresses
nitro5,3d74245cd59390d6570aba86edb65a1aff3f9057569e5b04fd6b8aa8a5ec8663,calico-node,836760,836653,runsv bird
nitro5,3d74245cd59390d6570aba86edb65a1aff3f9057569e5b04fd6b8aa8a5ec8663,calico-node,836761,836653,runsv allocate-tunnel-addrs
nitro5,3d74245cd59390d6570aba86edb65a1aff3f9057569e5b04fd6b8aa8a5ec8663,calico-node,836762,836653,runsv node-status-reporter
nitro5,3d74245cd59390d6570aba86edb65a1aff3f9057569e5b04fd6b8aa8a5ec8663,calico-node,836763,836756,calico-node -confd
nitro5,3d74245cd59390d6570aba86edb65a1aff3f9057569e5b04fd6b8aa8a5ec8663,calico-node,836764,836755,calico-node -monitor-token
nitro5,3d74245cd59390d6570aba86edb65a1aff3f9057569e5b04fd6b8aa8a5ec8663,calico-node,836766,836758,calico-node -felix
nitro5,3d74245cd59390d6570aba86edb65a1aff3f9057569e5b04fd6b8aa8a5ec8663,calico-node,836767,836759,calico-node -monitor-addresses
nitro5,3d74245cd59390d6570aba86edb65a1aff3f9057569e5b04fd6b8aa8a5ec8663,calico-node,836769,836761,calico-node -allocate-tunnel-addrs
nitro5,3d74245cd59390d6570aba86edb65a1aff3f9057569e5b04fd6b8aa8a5ec8663,calico-node,836770,836762,calico-node -status-reporter
nitro5,3d74245cd59390d6570aba86edb65a1aff3f9057569e5b04fd6b8aa8a5ec8663,calico-node,837099,836757,bird6 -R -s /var/run/calico/bird6.ctl -d -c /etc/calico/confd/config/bird6.cfg
nitro5,3d74245cd59390d6570aba86edb65a1aff3f9057569e5b04fd6b8aa8a5ec8663,calico-node,837100,836760,bird -R -s /var/run/calico/bird.ctl -d -c /etc/calico/confd/config/bird.cfg
nitro5,bd93d6a799fb64251cfda8e034c096fbaf4cb1feab02fded90022e5ddf32034e,kube-proxy,831911,831856,/usr/local/bin/kube-proxy --config=/var/lib/kube-proxy/config.conf --hostname-override=nitro5
nitro5,cf3982ebb2f6998769cfc9e076b269ef58a78ae7aa212ae55c34e9c86973f6d1,kube-controller-manager,831603,831408,"kube-controller-manager --authentication-kubeconfig=/etc/kubernetes/controller-manager.conf --authorization-kubeconfig=/etc/kubernetes/controller-manager.conf --bind-address=127.0.0.1 --client-ca-file=/etc/kubernetes/pki/ca.crt --cluster-name=kubernetes --cluster-signing-cert-file=/etc/kubernetes/pki/ca.crt --cluster-signing-key-file=/etc/kubernetes/pki/ca.key --controllers=*,bootstrapsigner,tokencleaner --kubeconfig=/etc/kubernetes/controller-manager.conf --leader-elect=true --requestheader-client-ca-file=/etc/kubernetes/pki/front-proxy-ca.crt --root-ca-file=/etc/kubernetes/pki/ca.crt --service-account-private-key-file=/etc/kubernetes/pki/sa.key --use-service-account-credentials=true"
nitro5,e6fecc4bbfe69f15924dafa37e064c2e803b764894f2f55db69ed815885ec486,kube-scheduler,831606,831402,kube-scheduler --authentication-kubeconfig=/etc/kubernetes/scheduler.conf --authorization-kubeconfig=/etc/kubernetes/scheduler.conf --bind-address=127.0.0.1 --kubeconfig=/etc/kubernetes/scheduler.conf --leader-elect=true
nitro5,3e8440a599e58cfb3e711ba0d8d7a3e8e5539eb1445620cdabc35545da9d234c,etcd,831586,831345,"etcd --advertise-client-urls=https://192.168.18.24:2379 --cert-file=/etc/kubernetes/pki/etcd/server.crt --client-cert-auth=true --data-dir=/var/lib/etcd --experimental-initial-corrupt-check=true --experimental-watch-progress-notify-interval=5s --initial-advertise-peer-urls=https://192.168.18.24:2380 --initial-cluster=nitro5=https://192.168.18.24:2380 --key-file=/etc/kubernetes/pki/etcd/server.key --listen-client-urls=https://127.0.0.1:2379,https://192.168.18.24:2379 --listen-metrics-urls=http://127.0.0.1:2381 --listen-peer-urls=https://192.168.18.24:2380 --name=nitro5 --peer-cert-file=/etc/kubernetes/pki/etcd/peer.crt --peer-client-cert-auth=true --peer-key-file=/etc/kubernetes/pki/etcd/peer.key --peer-trusted-ca-file=/etc/kubernetes/pki/etcd/ca.crt --snapshot-count=10000 --trusted-ca-file=/etc/kubernetes/pki/etcd/ca.crt"
nitro5,dc10420487e94bbacb7db89b5320b762893a945dac6a0d3ed694f0c228ce84da,kube-apiserver,831590,831348,"kube-apiserver --advertise-address=192.168.18.24 --allow-privileged=true --authorization-mode=Node,RBAC --client-ca-file=/etc/kubernetes/pki/ca.crt --enable-admission-plugins=NodeRestriction --enable-bootstrap-token-auth=true --etcd-cafile=/etc/kubernetes/pki/etcd/ca.crt --etcd-certfile=/etc/kubernetes/pki/apiserver-etcd-client.crt --etcd-keyfile=/etc/kubernetes/pki/apiserver-etcd-client.key --etcd-servers=https://127.0.0.1:2379 --kubelet-client-certificate=/etc/kubernetes/pki/apiserver-kubelet-client.crt --kubelet-client-key=/etc/kubernetes/pki/apiserver-kubelet-client.key --kubelet-preferred-address-types=InternalIP,ExternalIP,Hostname --proxy-client-cert-file=/etc/kubernetes/pki/front-proxy-client.crt --proxy-client-key-file=/etc/kubernetes/pki/front-proxy-client.key --requestheader-allowed-names=front-proxy-client --requestheader-client-ca-file=/etc/kubernetes/pki/front-proxy-ca.crt --requestheader-extra-headers-prefix=X-Remote-Extra- --requestheader-group-headers=X-Remote-Group --requestheader-username-headers=X-Remote-User --secure-port=6443 --service-account-issuer=https://kubernetes.default.svc.cluster.local --service-account-key-file=/etc/kubernetes/pki/sa.pub --service-account-signing-key-file=/etc/kubernetes/pki/sa.key --service-cluster-ip-range=10.96.0.0/12 --tls-cert-file=/etc/kubernetes/pki/apiserver.crt --tls-private-key-file=/etc/kubernetes/pki/apiserver.key"
aspire,9d44cc4902a7cca7532128695b4a0e912e63bc406aa452edb61093f40c57e6b1,coredns,416132,416073,/coredns -conf /etc/coredns/Corefile
aspire,98889375cd98a537a6b496a6db42e3e9ae6729aec209f748603ab1e84777fecc,teastore-webui,415937,415567,/bin/sh -c java -jar /usr/local/tomcat/bin/dockermemoryconfigurator.jar ${TOMCAT_HEAP_MEM_PERCENTAGE}; /usr/local/tomcat/bin/start.sh && /usr/local/tomcat/bin/catalina.sh run
